[000000] Main INICIO

[000000] criando 133 tarefas...
[000002] Task 2 iniciando...

[000004] Task 3 iniciando...

[000004] Task 4 iniciando...

[000004] Task 5 iniciando...

[000004] Task 6 iniciando...

[000004] Task 7 iniciando...

[000004] Task 8 iniciando...

[000004] Task 9 iniciando...

[000004] Task 10 iniciando...

[000004] Task 11 iniciando...

[000004] Task 12 iniciando...

[000004] Task 13 iniciando...

[000004] Task 14 iniciando...

[000004] Task 15 iniciando...

[000004] Task 16 iniciando...

[000004] Task 17 iniciando...

[000004] Task 18 iniciando...

[000004] Task 19 iniciando...

[000004] Task 20 iniciando...

[000004] Task 21 iniciando...

[000004] Task 22 iniciando...

[000004] Task 23 iniciando...

[000004] Task 24 iniciando...

[000004] Task 25 iniciando...

[000004] Task 26 iniciando...

[000004] Task 27 iniciando...

[000004] Task 28 iniciando...

[000004] Task 29 iniciando...

[000004] Task 30 iniciando...

[000004] Task 31 iniciando...

[000004] Task 32 iniciando...

[000004] Task 33 iniciando...

[000004] Task 34 iniciando...

[000004] Task 35 iniciando...

[000004] Task 36 iniciando...

[000004] Task 37 iniciando...

[000004] Task 38 iniciando...

[000004] Task 39 iniciando...

[000004] Task 40 iniciando...

[000004] Task 41 iniciando...

[000004] Task 42 iniciando...

[000004] Task 43 iniciando...

[000004] Task 44 iniciando...

[000004] Task 45 iniciando...

[000004] Task 46 iniciando...

[000004] Task 47 iniciando...

[000004] Task 48 iniciando...

[000005] Task 49 iniciando...

[000005] Task 50 iniciando...

[000005] Task 51 iniciando...

[000005] Task 52 iniciando...

[000005] Task 53 iniciando...

[000005] Task 54 iniciando...

[000005] Task 55 iniciando...

[000005] Task 56 iniciando...

[000005] Task 57 iniciando...

[000005] Task 58 iniciando...

[000005] Task 59 iniciando...

[000005] Task 60 iniciando...

[000005] Task 61 iniciando...

[000005] Task 62 iniciando...

[000005] Task 63 iniciando...

[000005] Task 64 iniciando...

[000005] Task 65 iniciando...

[000005] Task 66 iniciando...

[000005] Task 67 iniciando...

[000005] Task 68 iniciando...

[000005] Task 69 iniciando...

[000005] Task 70 iniciando...

[000005] Task 71 iniciando...

[000005] Task 72 iniciando...

[000005] Task 73 iniciando...

[000005] Task 74 iniciando...

[000005] Task 75 iniciando...

[000005] Task 76 iniciando...

[000005] Task 77 iniciando...

[000005] Task 78 iniciando...

[000005] Task 79 iniciando...

[000005] Task 80 iniciando...

[000005] Task 81 iniciando...

[000005] Task 82 iniciando...

[000005] Task 83 iniciando...

[000005] Task 84 iniciando...

[000005] Task 85 iniciando...

[000005] Task 86 iniciando...

[000005] Task 87 iniciando...

[000005] Task 88 iniciando...

[000005] Task 89 iniciando...

[000005] Task 90 iniciando...

[000005] Task 91 iniciando...

[000005] Task 92 iniciando...

[000005] Task 93 iniciando...

[000005] Task 94 iniciando...

[000006] Task 95 iniciando...

[000006] Task 96 iniciando...

[000006] Task 97 iniciando...

[000006] Task 98 iniciando...

[000006] Task 99 iniciando...

[000006] Task 100 iniciando...

[000006] Task 101 iniciando...

[000006] Task 102 iniciando...

[000006] Task 103 iniciando...

[000006] Task 104 iniciando...

[000006] Task 105 iniciando...

[000006] Task 106 iniciando...

[000006] Task 107 iniciando...

[000006] Task 108 iniciando...

[000006] Task 109 iniciando...

[000006] Task 110 iniciando...

[000006] Task 111 iniciando...

[000006] Task 112 iniciando...

[000006] Task 113 iniciando...

[000006] Task 114 iniciando...

[000006] Task 115 iniciando...

[000006] Task 116 iniciando...

[000006] Task 117 iniciando...

[000006] Task 118 iniciando...

[000006] Task 119 iniciando...

[000006] Task 120 iniciando...

[000006] Task 121 iniciando...

[000006] Task 122 iniciando...

[000006] Task 123 iniciando...

[000006] Task 124 iniciando...

[000006] Task 125 iniciando...

[000006] Task 126 iniciando...

[000006] Task 127 iniciando...

[000006] Task 128 iniciando...

[000006] Task 129 iniciando...

[000006] Task 130 iniciando...

[000006] Task 131 iniciando...

[000006] Task 132 iniciando...

[000006] Task 133 iniciando...

[000006] Task 134 iniciando...

[000001] 133 tarefas criadas e somando 39373 vezes cada, aguarde...

